,Date,Close
0,1999-07-08,67.25
1,1999-07-09,67.25
2,1999-07-12,68.375
3,1999-07-13,67.875
4,1999-07-14,67.625
5,1999-07-15,67.9375
6,1999-07-16,68.0625
7,1999-07-19,69.4375
8,1999-07-20,68.125
9,1999-07-21,67.875
10,1999-07-22,66.5
11,1999-07-23,64.0625
12,1999-07-26,63.25
13,1999-07-27,65.5
14,1999-07-28,66.0625
15,1999-07-29,65.0
16,1999-07-30,64.3125
17,1999-08-02,62.8125
18,1999-08-03,60.8125
19,1999-08-04,60.0
20,1999-08-05,59.25
21,1999-08-06,56.25
22,1999-08-09,55.8125
23,1999-08-10,57.0
24,1999-08-11,61.5
25,1999-08-12,60.6875
26,1999-08-13,63.125
27,1999-08-16,62.875
28,1999-08-17,63.0
29,1999-08-18,62.3125
30,1999-08-19,61.5625
31,1999-08-20,62.3125
32,1999-08-23,63.625
33,1999-08-24,63.4375
34,1999-08-25,64.0
35,1999-08-26,62.75
36,1999-08-27,61.5625
37,1999-08-30,59.3125
38,1999-08-31,59.8125
39,1999-09-01,60.3125
40,1999-09-02,59.25
41,1999-09-03,63.125
42,1999-09-07,62.5
43,1999-09-08,62.5625
44,1999-09-09,61.75
45,1999-09-10,63.09375
46,1999-09-13,62.125
47,1999-09-14,59.375
48,1999-09-15,58.3125
49,1999-09-16,57.6875
50,1999-09-17,60.0625
51,1999-09-20,60.75
52,1999-09-21,59.125
53,1999-09-22,61.3125
54,1999-09-23,60.8125
55,1999-09-24,61.9375
56,1999-09-27,61.5625
57,1999-09-28,62.25
58,1999-09-29,61.4375
59,1999-09-30,61.0
60,1999-10-01,59.1875
61,1999-10-04,61.6875
62,1999-10-05,62.25
63,1999-10-06,64.0
64,1999-10-07,63.1875
65,1999-10-08,63.9375
66,1999-10-11,63.6875
67,1999-10-12,62.9375
68,1999-10-13,61.0
69,1999-10-14,62.0
70,1999-10-15,59.75
71,1999-10-18,59.25
72,1999-10-19,60.375
73,1999-10-20,61.75
74,1999-10-21,61.8125
75,1999-10-22,65.5
76,1999-10-25,64.0
77,1999-10-26,61.8125
78,1999-10-27,64.375
79,1999-10-28,72.0
80,1999-10-29,71.0
81,1999-11-01,69.375
82,1999-11-02,69.75
83,1999-11-03,68.75
84,1999-11-04,70.125
85,1999-11-05,73.6875
86,1999-11-08,73.0
87,1999-11-09,71.875
88,1999-11-10,71.9375
89,1999-11-11,73.3125
90,1999-11-12,79.75
91,1999-11-15,78.0
92,1999-11-16,82.8125
93,1999-11-17,79.5625
94,1999-11-18,80.1875
95,1999-11-19,79.9375
96,1999-11-22,79.6875
97,1999-11-23,77.75
98,1999-11-24,77.125
99,1999-11-26,77.3125
100,1999-11-29,74.5
101,1999-11-30,75.125
102,1999-12-01,76.1875
103,1999-12-02,77.5
104,1999-12-03,79.0625
105,1999-12-06,77.0
106,1999-12-07,80.9375
107,1999-12-08,80.0
108,1999-12-09,80.0
109,1999-12-10,82.0
110,1999-12-13,82.0625
111,1999-12-14,78.75
112,1999-12-15,79.4375
113,1999-12-16,78.5625
114,1999-12-17,80.1875
115,1999-12-20,81.875
116,1999-12-21,80.9375
117,1999-12-22,79.6875
118,1999-12-23,81.0
119,1999-12-27,82.0625
120,1999-12-28,85.0
121,1999-12-29,88.0
122,1999-12-30,92.1875
123,1999-12-31,94.1875
124,2000-01-03,88.3125
125,2000-01-04,82.75
126,2000-01-05,78.875
127,2000-01-06,82.25
128,2000-01-07,82.5625
129,2000-01-10,84.375
130,2000-01-11,84.8125
131,2000-01-12,84.375
132,2000-01-13,84.5
133,2000-01-14,85.625
134,2000-01-18,86.875
135,2000-01-19,87.5625
136,2000-01-20,85.9375
137,2000-01-21,85.6875
138,2000-01-24,81.75
139,2000-01-25,83.875
140,2000-01-26,88.25
141,2000-01-27,89.0
142,2000-01-28,87.0
143,2000-01-31,91.625
144,2000-02-01,91.25
145,2000-02-02,91.125
146,2000-02-03,85.375
147,2000-02-04,84.6875
148,2000-02-07,85.75
149,2000-02-08,89.4375
150,2000-02-09,86.75
151,2000-02-10,86.625
152,2000-02-11,85.125
153,2000-02-14,86.5
154,2000-02-15,86.5
155,2000-02-16,82.9375
156,2000-02-17,82.125
157,2000-02-18,80.8125
158,2000-02-22,81.5625
159,2000-02-23,85.75
160,2000-02-24,89.625
161,2000-02-25,89.25
162,2000-02-28,88.0
163,2000-02-29,92.5
164,2000-03-01,94.75
165,2000-03-02,96.25
166,2000-03-03,102.5
167,2000-03-06,103.6875
168,2000-03-07,104.875
169,2000-03-08,101.75
170,2000-03-09,107.1875
171,2000-03-10,112.25
172,2000-03-13,110.375
173,2000-03-14,104.75
174,2000-03-15,103.5625
175,2000-03-16,103.3125
176,2000-03-17,116.5
177,2000-03-20,113.4375
178,2000-03-21,118.25
179,2000-03-22,117.15625
180,2000-03-23,119.0
181,2000-03-24,121.3125
182,2000-03-27,112.0
183,2000-03-28,113.25
184,2000-03-29,114.1875
185,2000-03-30,106.875
186,2000-03-31,105.25
187,2000-04-03,105.5
188,2000-04-04,98.25
189,2000-04-05,97.4375
190,2000-04-06,106.0
191,2000-04-07,102.5
192,2000-04-10,107.0625
193,2000-04-11,104.8125
194,2000-04-12,96.5625
195,2000-04-13,95.25
196,2000-04-14,82.75
197,2000-04-17,87.5
198,2000-04-18,93.75
199,2000-04-19,92.0625
200,2000-04-20,88.8125
201,2000-04-24,86.875
202,2000-04-25,97.0625
203,2000-04-26,94.5
204,2000-04-27,95.1875
205,2000-04-28,93.25
206,2000-05-01,97.0
207,2000-05-02,93.0
208,2000-05-03,91.125
209,2000-05-04,90.1875
210,2000-05-05,89.875
211,2000-05-08,87.3125
212,2000-05-09,85.625
213,2000-05-10,81.4375
214,2000-05-11,80.875
215,2000-05-12,83.78125
216,2000-05-15,87.0625
217,2000-05-16,85.5
218,2000-05-17,84.6875
219,2000-05-18,85.25
220,2000-05-19,84.5625
221,2000-05-22,82.0
222,2000-05-23,82.8125
223,2000-05-24,80.0
224,2000-05-25,73.0
225,2000-05-26,69.8125
226,2000-05-30,72.0
227,2000-05-31,73.5625
228,2000-06-01,76.375
229,2000-06-02,86.875
230,2000-06-05,84.5
231,2000-06-06,83.125
232,2000-06-07,86.6875
233,2000-06-08,85.0625
234,2000-06-09,83.25
235,2000-06-12,83.3125
236,2000-06-13,85.125
237,2000-06-14,89.9375
238,2000-06-15,90.25
239,2000-06-16,89.9375
240,2000-06-19,91.625
241,2000-06-20,89.0
242,2000-06-21,86.625
243,2000-06-22,84.25
244,2000-06-23,86.0
245,2000-06-26,87.75
246,2000-06-27,88.3125
247,2000-06-28,89.875
248,2000-06-29,92.625
249,2000-06-30,94.78125
250,2000-07-03,94.9375
251,2000-07-05,95.9375
252,2000-07-06,93.1875
253,2000-07-07,94.9375
254,2000-07-10,97.6875
255,2000-07-11,98.5
256,2000-07-12,101.9375
257,2000-07-13,104.25
258,2000-07-14,104.1875
259,2000-07-17,100.0
260,2000-07-18,103.875
261,2000-07-19,100.75
262,2000-07-20,103.6875
263,2000-07-21,104.25
264,2000-07-24,105.375
265,2000-07-25,106.0
266,2000-07-26,105.9375
267,2000-07-27,100.0
268,2000-07-28,98.5
269,2000-07-31,98.6875
270,2000-08-01,100.625
271,2000-08-02,102.125
272,2000-08-03,105.625
273,2000-08-04,111.25
274,2000-08-07,114.0625
275,2000-08-08,113.0
276,2000-08-09,114.9375
277,2000-08-10,112.0
278,2000-08-11,119.875
279,2000-08-14,120.75
280,2000-08-15,118.1875
281,2000-08-16,113.0
282,2000-08-17,118.625
283,2000-08-18,117.0
284,2000-08-21,117.8125
285,2000-08-22,119.875
286,2000-08-23,119.0
287,2000-08-24,118.25
288,2000-08-25,119.375
289,2000-08-28,122.4375
290,2000-08-29,127.4375
291,2000-08-30,123.6875
292,2000-08-31,129.5
293,2000-09-01,129.625
294,2000-09-05,128.8125
295,2000-09-06,128.125
296,2000-09-07,128.6875
297,2000-09-08,124.25
298,2000-09-11,132.0
299,2000-09-12,131.3125
300,2000-09-13,128.5
301,2000-09-14,129.0
302,2000-09-15,124.875
303,2000-09-18,118.5625
304,2000-09-19,119.9375
305,2000-09-20,118.0
306,2000-09-21,113.25
307,2000-09-22,114.875
308,2000-09-25,116.5
309,2000-09-26,110.875
310,2000-09-27,107.0625
311,2000-09-28,113.0
312,2000-09-29,114.0625
313,2000-10-02,115.375
314,2000-10-03,113.875
315,2000-10-04,109.4375
316,2000-10-05,114.875
317,2000-10-06,108.875
318,2000-10-09,105.25
319,2000-10-10,102.6875
320,2000-10-11,104.0
321,2000-10-12,94.3125
322,2000-10-13,101.5
323,2000-10-16,103.625
324,2000-10-17,99.25
325,2000-10-18,98.0
326,2000-10-19,100.5625
327,2000-10-20,104.9375
328,2000-10-23,102.4375
329,2000-10-24,101.125
330,2000-10-25,96.1875
331,2000-10-26,92.9375
332,2000-10-27,93.0
333,2000-10-30,96.5
334,2000-10-31,99.8125
335,2000-11-01,96.6875
336,2000-11-02,99.25
337,2000-11-03,100.4375
338,2000-11-06,96.0625
339,2000-11-07,93.75
340,2000-11-08,92.4375
341,2000-11-09,91.875
342,2000-11-10,89.1875
343,2000-11-13,86.375
344,2000-11-14,88.875
345,2000-11-15,90.0625
346,2000-11-16,91.4375
347,2000-11-17,88.0625
348,2000-11-20,83.0
349,2000-11-21,84.1875
350,2000-11-22,79.9375
351,2000-11-24,81.5
352,2000-11-27,82.5
353,2000-11-28,80.5
354,2000-11-29,82.875
355,2000-11-30,82.125
356,2000-12-01,82.0
